
(354.38781664213985, 87.21291214879518)
(354.6166494027838, 84.07998351543833)
(354.842182658713, 80.96009905676063)
(355.0645365458372, 77.85291301009096)
(355.2838248691206, 74.75809438032104)
(356.00015553712984, 71.67532607294261)
(356.713609595196, 68.60428632280637)
(357.4242645209629, 65.54466723912284)
(358.1321944401183, 62.49617398072562)
(358.8374703256234, 59.45852399350993)
(359.54016018195847, 56.43144630439616)
(360.2403292157421, 53.41468086676652)
(360.9380399939366, 50.90797795284898)
(361.6333389380962, 48.41113371864635)
(362.3262709882962, 45.92395120617206)
(363.01687966969985, 43.446240018652425)
(363.70520715528295, 40.97781601529874)
(364.3912943249863, 38.518501024220846)
(365.0751808215432, 36.06812257217511)
(365.7569051032099, 33.62651362995054)
(366.43650449360746, 31.19351237229582)
(367.1140152288685, 29.26896195138058)
(367.7894617644157, 27.352738299936696)
(368.4628680309353, 25.444720551753946)
(369.13425745049943, 23.544790924872594)
(369.80365295205104, 21.652834610256075)
(370.47107698628037, 19.76873966563078)
(371.13655153992323, 17.89239691420105)
(371.8000981495076, 16.023699847966803)
(372.46173791457454, 14.662544535389113)
(373.12148217981314, 13.308853259903838)
(373.77934214407367, 11.962549859962161)
(374.43532886262386, 10.623559684886583)
(375.0894532493793, 9.291809552346992)
(375.7417260791064, 7.967227707384206)
(376.3921579895981, 6.649743782912216)
(377.0407594838204, 5.33928876163395)
(377.6875409320299, 4.535794939308766)
(378.3325039659605, 3.7392169792256857)
(378.9756502153946, 2.9495102663503405)
(379.6169813070865, 2.1666308919825745)
(380.2564988637364, 1.3905356388451589)
(380.8942045030117, 0.6211819665888516)
(381.5300998366139, -0.14147200230035528)
(382.16418646938916, -0.897467496205398)
(382.79646599847973, -1.146845107706759)
(383.4269316379418, -1.3896252499318136)
(384.05557660982697, -1.6258280158885532)
(384.6823941427721, -1.8554731826082351)
(385.30737747061175, -2.0785802151942883)
(385.9305198310127, -2.2951682707796763)
(386.5518144641301, -2.505256202394848)
(387.1712546112835, -2.208862562748345)
(387.78882497146736, -1.9059866693195988)
(388.4045101569194, -1.5966276552967171)
(389.01829469101415, -1.2807844693652124)
(389.6301630061346, -0.9584558754684964)
(390.2400994415205, -0.629640452540049)
(390.84808824109257, -0.2943365942071593)
(391.4541135512519, 0.047457491533875296)
(392.0581594186538, 0.3957437826712157)
(392.66020978795524, 0.7505244435597468)
(393.26024849953455, 1.1118018253322868)
(393.8582592871834, 1.4795784663398948)
(394.45422577576926, 1.853857092621443)
(395.0481314788683, 2.2346406184026275)
(395.1399597963668, 2.6219321466246086)
(395.2297019015551, 3.015744528849511)
(395.31734883532187, 3.4160909326457043)
(395.40289150406437, 3.822984844906994)
(395.4863206775487, 4.236440075268967)
(395.5676269867186, 4.656470759624664)
(395.64680092145164, 5.083091363741847)
(395.72383282826087, 5.51631668698419)
(395.79871290794074, 5.9561618661388325)
(395.8714312131559, 6.402642379352798)
(395.4419776459706, 6.855774050180889)
(395.01035004822154, 7.315583123598163)
(394.57654618757, 7.782096290202026)
(394.1405637570004, 8.25534069369341)
(393.7024003743045, 8.735343938554877)
(393.2620535815514, 9.222134097931578)
(392.81952084454355, 9.715739721721256)
(392.37479955225774, 10.21618984487967)
(391.9278870162718, 10.723513995948093)
(391.4787804701762, 11.237742205809775)
(391.0274770689706, 11.758905016682549)
(390.5739738884452, 12.28703349135497)
